pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,charged_to_batt_w,soc,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
0.0,1139.7441648170384,0.0,0.0,0.0,0.46716554474115096,0.0,1069.7441648170384,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.0889191187991,0.0,0.0,0.0,0.46201115652050423,0.0,1068.0889191187991,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1136.7871073594847,0.0,0.0,0.0,0.4568626641864486,0.0,1066.7871073594847,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1140.4069272717345,0.0,0.0,0.0,0.45169777774047154,0.0,1070.4069272717345,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.4872985094314,0.0,0.0,0.0,0.44654158526533827,0.0,1068.4872985094314,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1137.1554925808045,0.0,0.0,0.0,0.44139142451995417,0.0,1067.1554925808045,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.706854231515,0.0,0.0,0.0,0.4362342376801375,0.0,1068.706854231515,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1137.836903992771,0.0,0.0,0.0,0.4310809908323442,0.0,1067.836903992771,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1143.374283270145,0.0,0.0,0.0,0.4259026652740555,0.0,1073.374283270145,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1141.7632795138989,0.0,0.0,0.0,0.420731635928431,0.0,1071.7632795138989,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
