pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,soc,bank,pscore,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.1212920031243736,0.0,0.0,0.0,1073.8188332809402,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.1958662855977193,0.0,0.0,0.0,1067.2028648523617,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.286600228022325,0.0,0.0,0.0,1071.1259384733812,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.3591591475233833,0.0,0.0,0.0,1068.6987148617563,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.417144579978601,0.0,0.0,0.0,1069.0257492324706,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4631157703921276,0.0,0.0,0.0,1068.8152121515222,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4989120357998553,0.0,0.0,0.0,1068.2720184606405,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5258562247758376,0.0,0.0,0.0,1070.0970432558897,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.5448857097926365,0.0,0.0,0.0,1068.338099767178,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,0.0,0.0,0.0,950.5409136515597,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
28.545619021792167,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,28.545619021792167,0.0,0.0,921.3539047593096,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
12.732647134708902,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,12.732647134708902,0.0,0.0,936.7894567715582,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
70.87908108062354,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,70.87908108062354,0.0,0.0,877.3057915952933,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
91.68301511895085,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,91.68301511895085,0.0,0.0,857.1634422199126,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
37.645221113704245,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,37.645221113704245,0.0,0.0,913.8655613379473,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
52.41614762214991,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,52.41614762214991,0.0,0.0,898.5856867530989,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
134.72043672630306,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,134.72043672630306,0.0,0.0,813.3244527840998,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
130.27954812165856,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,130.27954812165856,0.0,0.0,819.9191164892,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
226.12496676915103,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,226.12496676915103,0.0,0.0,725.3778074775926,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
182.95503489716452,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,182.95503489716452,0.0,0.0,763.7061545405927,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
133.95155827039366,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,133.95155827039366,0.0,0.0,817.1351621143662,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
322.74946367710936,0.0,0.0,0.0,0.2966899537795209,Rainy,2.534492446977961,322.74946367710936,0.0,0.0,625.9252888049989,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0
